Run 1,, ,run 2,,,run 3 ,,changed detectors,run 1 - H2 D2,,,run 2,,,run 3 ,,,run 1 - h2,,,run 2,,,run 3,,,run 1 with filter,dummy data,,run 2 with nd 1 absorptive filter,broad band anti reflective coating 350 - 700 nm,,run 3 with filter,,,run 4,
wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts)
353.96,6.5,,353.96,14.89,,353.96,11.28,,630.4,1.62,,630.4,-4.23,,630.4,1.23,,630.4,-3.15,,630.4,4.23,,630.4,9.38,,630.4,-8.77,,630.4,-3.92,,630.4,0.38,,630.4,7.62
354.18,13.5,,354.18,9.89,,354.18,13.28,,630.42,-3.38,,630.42,-7.23,,630.42,-9.77,,630.42,7.85,,630.42,-0.77,,630.42,-3.62,,630.42,15.23,,630.42,-10.92,,630.42,-1.62,,630.42,-6.38
354.41,6.5,,354.41,8.89,,354.41,12.28,,630.43,-7.38,,630.43,-10.23,,630.43,2.23,,630.43,-10.15,,630.43,-12.77,,630.43,10.38,,630.43,1.23,,630.43,-3.92,,630.43,-11.62,,630.43,-7.38
354.64,11.5,,354.64,9.89,,354.64,8.28,,630.45,8.62,,630.45,8.77,,630.45,-1.77,,630.45,-4.15,,630.45,5.23,,630.45,22.38,,630.45,4.23,,630.45,3.08,,630.45,-1.62,,630.45,-4.38
354.87,8.5,,354.87,7.89,,354.87,9.28,,630.47,14.62,,630.47,-4.23,,630.47,5.23,,630.47,1.85,,630.47,18.23,,630.47,21.38,,630.47,19.23,,630.47,6.08,,630.47,18.38,,630.47,5.62
355.09,10.5,,355.09,13.89,,355.09,9.28,,630.49,11.62,,630.49,7.77,,630.49,-9.77,,630.49,4.85,,630.49,13.23,,630.49,12.38,,630.49,6.23,,630.49,3.08,,630.49,18.38,,630.49,19.62
355.32,10.5,,355.32,9.89,,355.32,10.28,,630.51,18.62,,630.51,9.77,,630.51,-1.77,,630.51,16.85,,630.51,27.23,,630.51,14.38,,630.51,2.23,,630.51,23.08,,630.51,16.38,,630.51,18.62
355.55,13.5,,355.55,10.89,,355.55,11.28,,630.53,5.62,,630.53,7.77,,630.53,12.23,,630.53,-5.15,,630.53,12.23,,630.53,0.38,,630.53,-1.77,,630.53,-12.92,,630.53,13.38,,630.53,-2.38
355.78,12.5,,355.78,11.89,,355.78,14.28,,630.54,7.62,,630.54,13.77,,630.54,7.23,,630.54,9.85,,630.54,2.23,,630.54,2.38,,630.54,1.23,,630.54,10.08,,630.54,20.38,,630.54,8.62
356.01,11.5,,356.01,11.89,,356.01,13.28,,630.56,31.62,,630.56,19.77,,630.56,3.23,,630.56,22.85,,630.56,-2.77,,630.56,30.38,,630.56,14.23,,630.56,28.08,,630.56,23.38,,630.56,27.62
